"id","query","liked_post","has_messaged","username","post"
"28","sari","False","False","BorutoUzumaki","null"
"29","","True","False","BorutoUzumaki"," Cinthol DeoShot (Pack of 4) "
"36","","True","False","BorutoUzumaki"," Okay Green Tea Nourishing Antioxidant Rich Conditioner, 12 Ounce "
"53","","False","True","BorutoUzumaki"," Armaf Enchanted Foliage Deodorant Body Spray For Women 200 ML "
"79","definition","False","False","BorutoUzumaki","null"
"80","","False","True","BorutoUzumaki"," Cadbury Mini Gift Pack Chocolates with Beautiful Designer Rakhi Combo Set of 3 "
"94","gavel","False","False","BorutoUzumaki","null"
"102","","False","True","BorutoUzumaki"," Generic Anti-Blue Anti-Fatigue Reading Glasses Black Frame Resin Aluminum Computer Presbyopic Glass[1.5] "
"108","","False","True","BorutoUzumaki"," 100pcs Golden osmanthus Mung bean Crystal Collagen Eye Mask Hotsale Eye Patches For The Eye Anti-Wrinkle Remove Black Eye "
"118","surname","False","False","BorutoUzumaki","null"
"119","","True","False","BorutoUzumaki"," Homely Jaswell Summer Fashion Women Body Shaper Removable Bra Cami Tank Top Underwear Slimming Vest Corset Shapewear: Black, L "
"120","terrible","False","False","BorutoUzumaki","null"
"122","","True","False","BorutoUzumaki"," Barilla Pasta Rotini And Farfalle Value Pack 3 Farfalle And 3 Rotini 1 Pound Boxes "
"163","","True","False","BorutoUzumaki"," Roop Mantra Neem Body Wash, 225ml "
"178","symptomatic","False","False","BorutoUzumaki","null"
"179","noir","False","False","BorutoUzumaki","null"
"234","","False","True","BorutoUzumaki"," MIZON All In One Snail Repair Cream 75ml x 2EA "
"238","copper","False","False","BorutoUzumaki","null"
"268","meal","False","False","BorutoUzumaki","null"
"285","tomatillo","False","False","BorutoUzumaki","null"
"300","","False","True","BorutoUzumaki"," Royal Beauty China : SOON PURE Black Gold Aquagel Collagen Eye Mask Ageless Anti Wrinkle Eye Bags Dark Circles Puffy Eyes Whitening Skin Care Face "
"315","drunk","False","False","BorutoUzumaki","null"
"318","absorbed","False","False","BorutoUzumaki","null"
"330","","False","True","BorutoUzumaki"," Oxi9 Shea & Cocoa Butter Moisturizing Soap , 300 gm "
"357","","True","False","BorutoUzumaki"," Deve Herbes Pure Babassu Oil 50ml (Attalea speciosa) 100% Natural Therapeutic Grade Cold Pressed "
"363","mixture","False","False","BorutoUzumaki","null"
"375","","True","False","BorutoUzumaki"," Kismera Line Revitalizing Wax with Hydrolyzes Proteins 16.9 Fl Oz "
"387","obey","False","False","BorutoUzumaki","null"
"391","","False","True","BorutoUzumaki"," Organic bypurenaturals Indigo Powder & Henna Herb Powder Combo (225 g) "
"394","tomatillo","False","False","BorutoUzumaki","null"
"402","","True","False","BorutoUzumaki"," Bogatchi Gift Ideas for Mom, MomS Love 120 G "
"425","confuse","False","False","BorutoUzumaki","null"
"428","","False","True","BorutoUzumaki"," Shea Moisture, Shea Butter and African Black Soap Shave Butter Shave Cream 6 oz (Pack of 3, SEALED EACH JAR AND BOX) "
"438","","True","False","BorutoUzumaki"," Generic Stainless Steel Nail Polish Pusher Remover Uv Gel Cleaner Cut Dead Skin Push Manicure Pedicure Care Tool "
"455","moustache","False","False","BorutoUzumaki","null"
"460","optimization","False","False","BorutoUzumaki","null"
"474","","False","True","BorutoUzumaki"," ILEX+CONSUMER+PRODUCTS+GRP CALGON SHOWR GEL+FOAM BATH T/D Size: 16 OZ "
"484","prostrate","False","False","BorutoUzumaki","null"
"494","","True","False","BorutoUzumaki"," Katli Assorted Sweet "
"512","","True","False","BorutoUzumaki"," Royal Mirage SILVER Body Spray 200ml / 6.8 fl.oz. "
"516","tailbud","False","False","BorutoUzumaki","null"
"517","","True","False","BorutoUzumaki"," Le Mieux Bio Cell Plus Mask, 4 Count by Le Mieux "
"526","","False","True","BorutoUzumaki"," Bagbans Kitchen Master Chilli Powder 500g Lal Mirch "
"538","","True","False","BorutoUzumaki"," CHOCOCRAFT, for valentine day, 9 Chocolate Gift Box, best valentine gift "
"540","","False","True","BorutoUzumaki"," Ciro Bio Care Mint Scrub (500 ml) "
