"id","query","liked_post","has_messaged","username","post"
"24","","True","False","ItachiUchiha"," Roopak Store Masalas Tandoori Chicken Masala (100 g) "
"25","","False","True","ItachiUchiha"," Shea Moisture 100 Pure Monoi Oil, 1.6 Ounce "
"42","execution","False","False","ItachiUchiha","null"
"48","","True","False","ItachiUchiha"," MISTINE BEE VENOM BODY SERUM LOTION FOR SMOOTH RADIANT FIRM SUPPLE SKIN "
"56","tooth","False","False","ItachiUchiha","null"
"82","cluster","False","False","ItachiUchiha","null"
"107","thundering","False","False","ItachiUchiha","null"
"116","","False","True","ItachiUchiha"," Fiama Bath Essentials Hair Wrapper "
"128","","True","False","ItachiUchiha"," World Beautys New 5Pcs BaBiQi Whitening Moisturizing Facial Mask Tender And White Anti-Aging Oil-control Quick Anti-acne Facial Mask - moisturizing "
"134","angiosperm","False","False","ItachiUchiha","null"
"136","","False","True","ItachiUchiha"," The Spice Club Rava Idly Mix 500g + Rava Dosa Mix 500g - No Preservatives, No Artificial Ingredients "
"142","","True","False","ItachiUchiha"," [Wish Formula] Ampoule Pad-C 1ea "
"145","gauge","False","False","ItachiUchiha","null"
"149","moth","False","False","ItachiUchiha","null"
"150","numerous","False","False","ItachiUchiha","null"
"153","antennae","False","False","ItachiUchiha","null"
"161","","False","True","ItachiUchiha"," Stockout LAURA MERCIER Flawless Lumière Radiance-Perfecting Foundation - COLOR: 3W2 Golden - medium with warm undertones - Natural finish "
"188","","False","True","ItachiUchiha"," SLV Facial Care Treatment Moisturize Repair Fade Spot Facial Cream "
"206","hushed","False","False","ItachiUchiha","null"
"213","subcomponent","False","False","ItachiUchiha","null"
"214","","False","True","ItachiUchiha"," Ubervia Pack of 1 Pure Natural Acne Pearl Powder 250g Suitable For Acne Remover Anti Acne Treatment as Face Mask "
"226","","True","False","ItachiUchiha"," Goldwell Definition Dry & Porous Restructuring Treatment for Fine Dry Hair - 5 fl oz "
"230","comparison","False","False","ItachiUchiha","null"
"235","excess","False","False","ItachiUchiha","null"
"241","approach","False","False","ItachiUchiha","null"
"255","","True","False","ItachiUchiha"," Kamdaar Dry Fruits Pineapple Ring Weight 250 Grams Golden Berry Weight 250 Grams "
"263","","False","True","ItachiUchiha"," Generic Hankey Baby Skin Mask Face Mask Whitening Wrapped Moisturizing Mask Oil Control Facial Masks Smooth Like Baby Skin Care "
"270","karate","False","False","ItachiUchiha","null"
"292","slap","False","False","ItachiUchiha","null"
"305","beanstalk","False","False","ItachiUchiha","null"
"319","","False","True","ItachiUchiha"," WONDERLAND FOODS (DEVICE) Dried Fruits Combo Sliced Cranberries and Pitted Prunes , 200 g (Pack of 2) "
"322","critic","False","False","ItachiUchiha","null"
"347","tributary","False","False","ItachiUchiha","null"
"353","tape","False","False","ItachiUchiha","null"
"356","polish","False","False","ItachiUchiha","null"
"358","","False","True","ItachiUchiha"," Homely 3/32"" Ceramic Nail Drill Bits Tungsten Carbide Electric Drill bits Manicure Machine Accessories Nail Files Manicure Mill Cutter : Q1 "
"362","","False","True","ItachiUchiha"," Lady Primrose Tryst Hand Wash Pump "
"369","collagen","False","False","ItachiUchiha","null"
"383","snatch","False","False","ItachiUchiha","null"
"395","","False","True","ItachiUchiha"," Body Cream Mandarin & Rosemary Leaf (50 ml) "
"397","","True","False","ItachiUchiha"," Rasasi Attar Al Mubakhar Concentrated Oil Perfume Attar, 20 ml "
"419","","False","True","ItachiUchiha"," New gift for Durga Pooja - 6 Chocolate Gift Box - Navarathri gift ideas "
"421","","False","True","ItachiUchiha"," J.F. Lazartigue Colour Reflecting Hair Conditioner (Blond CRC) by j.f. lazartigue "
"433","","True","False","ItachiUchiha"," Z Natural Life Extra Strength Deodorant - Fresh Scent (Aluminum Free & Baking Soda Free) "
"437","exasperation","False","False","ItachiUchiha","null"
"441","charity","False","False","ItachiUchiha","null"
"458","","False","True","ItachiUchiha"," Generic 1Pc Hydrating Facial Mask Ance Treatment Silk Protein Aqua Shiny Moisturizing Oil Control Replenishment Face Mask "
"498","","False","True","ItachiUchiha"," The Soap Company Iran Luxury Gift Box "
"508","ecology","False","False","ItachiUchiha","null"
"518","","False","True","ItachiUchiha"," Generic Hot Beauty Minerals Nose Blackhead Remover Blackhead Pore Strip Cleanser Black Heads Peel Nursing lotion For Acne Skin Care "
"519","bowler","False","False","ItachiUchiha","null"
"551","","True","False","ItachiUchiha"," Ubervia Pack of 1 Vitamin Hydration Skin Care Plant Facial Mask Moisturizing Oil Control Blackhead Remover Wrapped Mask Face Mask Face Care "
"573","","False","True","ItachiUchiha"," Herb Essential Kapoor Kachari Powder, 100 g "
"623","nobody","False","False","ItachiUchiha","null"
"624","intensity","False","False","ItachiUchiha","null"
"638","","False","True","ItachiUchiha"," Kara Hydration And Oil Control Aloe Vera Face Mask (Pack Of 50) "
"656","","True","False","ItachiUchiha"," Kama Ayurveda Extra Virgin Organic Coconut Oil, 200ml "
"659","genocide","False","False","ItachiUchiha","null"
"664","vitality","False","False","ItachiUchiha","null"
"665","sightseeing","False","False","ItachiUchiha","null"
"667","interlay","False","False","ItachiUchiha","null"
"688","","False","True","ItachiUchiha"," Percy Breakfast Cereal, Diet Muesli, No Sugar Added, Jumbo Jar [Multigrain Oats, High Fibre and Protein for Weight Loss] Jar, 800 g "
"701","forbid","False","False","ItachiUchiha","null"
"702","postage","False","False","ItachiUchiha","null"
"704","baritone","False","False","ItachiUchiha","null"
"709","leaker","False","False","ItachiUchiha","null"
"712","attribute","False","False","ItachiUchiha","null"
"724","military","False","False","ItachiUchiha","null"
"728","emotion","False","False","ItachiUchiha","null"
"741","vellum","False","False","ItachiUchiha","null"
