"id","query","liked_post","has_messaged","username","post"
"32","","True","False","NarutoUzumaki"," Mario Badescu Oil Free Moisturizer SPF 30 - For Combination/Oily/Sensitive Skin Types 59ml "
"34","","True","False","NarutoUzumaki"," Royal Beauty 10pcs Health Care Chinese Multifunctional Patch Pain Relief Plaster Joint Pain Reliever "
"37","","False","True","NarutoUzumaki"," CHOCOCRAFT, valentine day special, 9 Chocolate Gift Box, unique chocolate gift "
"52","","True","False","NarutoUzumaki"," Lip Smacker Disney Tsum Tsum Lip Balm - Stitch Blueberry Wave Flavor (Pack of 2) "
"54","","False","True","NarutoUzumaki"," MTR Inst Regular Poha Pouch, 60g "
"57","","True","False","NarutoUzumaki"," Generic Oil Soaps Whitening Moisturized Face Soap "
"58","","False","True","NarutoUzumaki"," Bogatchi Happy Birthday Personalized White Chocolate Photo Frame with California Almonds for Father, Wt.- 70G, Sz. - (12.5Cm X 7.8Cm) "
"66","show-stopper","False","False","NarutoUzumaki","null"
"67","","False","True","NarutoUzumaki"," Cold Plasma 30ml/1oz "
"92","shampoo","False","False","NarutoUzumaki","null"
"97","","True","False","NarutoUzumaki"," Ghasitarams Since 1916 2 Piece Besan Laddoo with 2 Rakhis "
"105","","False","True","NarutoUzumaki"," Hambre Methi Dana, Fenugreek Seeds Premium Quality, 250g "
"124","alternative","False","False","NarutoUzumaki","null"
"130","garrulous","False","False","NarutoUzumaki","null"
"137","vascular","False","False","NarutoUzumaki","null"
"148","incense","False","False","NarutoUzumaki","null"
"164","interconnection","False","False","NarutoUzumaki","null"
"171","","False","True","NarutoUzumaki"," Khadi Natural Sandal & Olive Nourishing Cream 50 Gm (Set of 2) "
"180","optimal","False","False","NarutoUzumaki","null"
"183","horseradish","False","False","NarutoUzumaki","null"
"195","defiant","False","False","NarutoUzumaki","null"
"217","","True","False","NarutoUzumaki"," SSCP Petitgrain Pure & Natural Oil (50 ml (1.70 Oz)) "
