"id","query","liked_post","has_messaged","username","post"
"4","","False","True","Pillow","used scissors for cooking"
"9","","False","True","Pillow","black trash can"
"10","","True","False","Pillow","rice cooker"
"11","","False","True","Pillow","rice cooker"
"14","","True","False","Pillow","Kwaku’s Laptop"
"15","","True","False","Pillow","AirPods"
"27","","True","False","Pillow"," Mor Cosmetics Mini Body Butter, Snow Gardenia, 1.7-Ounce "
"41","","True","False","Pillow"," BeautyNeeds Grey Gel Whitening Moisturizing Gloves & Sock Set Washable Reusable 1pair Gloves+1pair Socks Beauty Hand Foot Skin Care Unisex "
"44","nightlight","False","False","Pillow","null"
"55","furry","False","False","Pillow","null"
"65","","True","False","Pillow"," Nyassa Like Honey Dew And Green Carnations Fragrance Oil 20ml "
"87","","True","False","Pillow"," Sukin Paw Paw (Papaya) Lip balm 25g "
"89","utopian","False","False","Pillow","null"
"91","circumference","False","False","Pillow","null"
"93","hear","False","False","Pillow","null"
"99","siege","False","False","Pillow","null"
"101","bike","False","False","Pillow","null"
"103","dust storm","False","False","Pillow","null"
"104","incompetent","False","False","Pillow","null"
"114","mitten","False","False","Pillow","null"
"135","","False","True","Pillow"," [Ciracle] Anti-Blemish Foam Cleanser 150ml "
"156","ascent","False","False","Pillow","null"
"170","","False","True","Pillow"," Generic Blue Stripe PEVA Lining Dual Layers Waterproof Shower Bath Salon Hair Cap Hat "
"182","pegboard","False","False","Pillow","null"
"197","teenager","False","False","Pillow","null"
"199","","True","False","Pillow"," Organic Shop Avocado & Honey Repairing Conditioner "
"210","piglet","False","False","Pillow","null"
"216","quart","False","False","Pillow","null"
"240","dark","False","False","Pillow","null"
"242","chaos","False","False","Pillow","null"
"244","","True","False","Pillow"," Degree Men Arctic Edge Deodorant Stick 3 Oz (Pack Of 5) "
"250","rheumatism","False","False","Pillow","null"
"253","cyclamen","False","False","Pillow","null"
"260","oceanic","False","False","Pillow","null"
"294","","True","False","Pillow"," Homely 24Pcs Bow-knot Rhinestone Nail Tips Black Side Nail Art Kit Flower Medium Square Acrylic Nail with Glue Sticker Z319 : Z737 "
"301","obscene","False","False","Pillow","null"
"308","suggest","False","False","Pillow","null"
"316","infinite","False","False","Pillow","null"
"331","","True","False","Pillow"," Gardens of Aroma - Pomegranate Essential Oil 10ml. Camphor Essential Oil 10ml "
"342","study","False","False","Pillow","null"
"355","","False","True","Pillow"," Congratulation gift baskets - 18 Chocolate Gift Box - Congrats on new job gifts "
"365","heartbreaking","False","False","Pillow","null"
"378","","False","True","Pillow"," Khadi Mart Herbal Satritha Shampoo - 210ml (Set of 2) "
"384","","False","True","Pillow"," Combo New pinch-Z~kross-40ml "
"388","manservant","False","False","Pillow","null"
